time,raw_reading,batch,capacitance
140,11827084,8,12.33494336
140,11846843,8,12.34459131
140,11852804,8,12.34750195
140,11835513,8,12.33905908
140,11857150,8,12.34962402
140,11847540,8,12.34493164
140,11835829,8,12.33921338
140,11837711,8,12.34013232
140,11836468,8,12.33952539
140,11836712,8,12.33964453
140,11825775,8,12.3343042
140,11849722,8,12.34599707
140,11841998,8,12.34222559
140,11833607,8,12.33812842
140,11837548,8,12.34005273
140,11829624,8,12.33618359
140,11839934,8,12.34121777
140,11831019,8,12.33686475
140,11845100,8,12.34374023
140,11846559,8,12.34445264
140,11820908,8,12.33192773
140,11823220,8,12.33305664
140,11856526,8,12.34931934
140,11849556,8,12.34591602
140,11825517,8,12.33417822
140,11844442,8,12.34341895
140,11830575,8,12.33664795
140,11834646,8,12.33863574
140,11837023,8,12.33979639
140,11837254,8,12.33990918
140,11851648,8,12.3469375
140,11836349,8,12.33946729
140,11835159,8,12.33888623
140,11839465,8,12.34098877
140,11839563,8,12.34103662
140,11827399,8,12.33509717
140,11847336,8,12.34483203
140,11835637,8,12.33911963
140,11841668,8,12.34206445
140,11837082,8,12.3398252
140,11841695,8,12.34207764
140,11836848,8,12.33971094
140,11848131,8,12.34522021
140,11844445,8,12.34342041
140,11832916,8,12.33779102
140,11836420,8,12.33950195
140,11837711,8,12.34013232
140,11830011,8,12.33637256
140,11825102,8,12.33397559
140,11821269,8,12.332104
140,11830871,8,12.33679248
140,11831468,8,12.33708398
140,11852209,8,12.34721143
140,11832232,8,12.33745703
140,11829931,8,12.3363335
140,11829405,8,12.33607666
140,11851451,8,12.34684131
140,11837060,8,12.33981445
140,11831039,8,12.33687451
140,11841471,8,12.34196826
140,11816896,8,12.32996875
140,11836924,8,12.33974805
140,11842916,8,12.34267383
160,11103731,9,11.98174365
160,11100763,9,11.98029443
160,11117490,9,11.98846191
160,11100026,9,11.97993457
160,11100227,9,11.98003271
160,11101938,9,11.98086816
160,11109771,9,11.98469287
160,11118106,9,11.9887627
160,11094001,9,11.97699268
160,11107001,9,11.98334033
160,11104951,9,11.98233936
160,11110857,9,11.98522314
160,11115190,9,11.98733887
160,11080146,9,11.97022754
160,11109554,9,11.98458691
160,11095482,9,11.97771582
160,11113633,9,11.98657861
160,11093656,9,11.97682422
160,11106892,9,11.98328711
160,11100934,9,11.98037793
160,11097611,9,11.97875537
160,11105949,9,11.98282666
160,11099254,9,11.97955762
160,11110733,9,11.9851626
160,11105578,9,11.98264551
160,11106151,9,11.98292529
160,11110531,9,11.98506396
160,11100538,9,11.98018457
160,11104988,9,11.98235742
160,11105604,9,11.9826582
160,11101467,9,11.98063818
160,11105371,9,11.98254443
160,11105263,9,11.9824917
160,11101502,9,11.98065527
160,11113802,9,11.98666113
160,11109889,9,11.98475049
160,11112522,9,11.98603613
160,11102890,9,11.98133301
160,11102734,9,11.98125684
160,11100426,9,11.98012988
160,11113356,9,11.98644336
160,11105573,9,11.98264307
160,11108608,9,11.984125
160,11095280,9,11.97761719
160,11108657,9,11.98414893
160,11116020,9,11.98774414
160,11106685,9,11.98318604
160,11092325,9,11.97617432
160,11103633,9,11.9816958
160,11105081,9,11.98240283
160,11102243,9,11.98101709
160,11104856,9,11.98229297
160,11103487,9,11.98162451
160,11112888,9,11.98621484
160,11100076,9,11.97995898
160,11101996,9,11.98089648
160,11103591,9,11.98167529
160,11110922,9,11.98525488
160,11109199,9,11.98441357
160,11106830,9,11.98325684
160,11112592,9,11.98607031
160,11102667,9,11.98122412
160,11113258,9,11.98639551
160,11102355,9,11.98107178
160,11106082,9,11.9828916
160,11094919,9,11.97744092
160,11097150,9,11.97853027
160,11109638,9,11.98462793
160,11094004,9,11.97699414
160,11114166,9,11.98683887
160,11095777,9,11.97785986
160,11108153,9,11.98390283
160,11093495,9,11.97674561
160,11103600,9,11.98167969
160,11091045,9,11.97554932
160,11085974,9,11.97307324
160,11109287,9,11.98445654
160,11099913,9,11.97987939
160,11106251,9,11.98297412
160,11101161,9,11.98048877
160,11101716,9,11.98075977
160,11110714,9,11.98515332
160,11102139,9,11.98096631
160,11109846,9,11.98472949
160,11111258,9,11.98541895
160,11111394,9,11.98548535
160,11098668,9,11.97927148
160,11102524,9,11.9811543
160,11103192,9,11.98148047
160,11099118,9,11.97949121
160,11097353,9,11.97862939
160,11106562,9,11.98312598
160,11107177,9,11.98342627
160,11120981,9,11.9901665
160,11113209,9,11.98637158
160,11098317,9,11.9791001
160,11097781,9,11.97883838
160,11100724,9,11.98027539
160,11106855,9,11.98326904
160,11116814,9,11.98813184
160,11100298,9,11.98006738
160,11098856,9,11.97936328
160,11098719,9,11.97929639
160,11096209,9,11.9780708
160,11099277,9,11.97956885
160,11109180,9,11.9844043
160,11116960,9,11.98820312
160,11107895,9,11.98377686
160,11110832,9,11.98521094
160,11095077,9,11.97751807
160,11102837,9,11.98130713
160,11098841,9,11.97935596
160,11094752,9,11.97735937
180,11129827,10,11.99448584
180,11143870,10,12.00134277
180,11141504,10,12.0001875
180,11124789,10,11.99202588
180,11109455,10,11.98453857
180,11139810,10,11.99936035
180,11132657,10,11.99586768
180,11141444,10,12.0001582
180,11147159,10,12.00294873
180,11141463,10,12.00016748
180,11135443,10,11.99722803
180,11119901,10,11.98963916
180,11140909,10,11.99989697
180,11134902,10,11.99696387
180,11140675,10,11.99978271
180,11129038,10,11.99410059
