paper,capacitance
1.500000000000000000e+01,1.458713500000000000e+07
1.500000000000000000e+01,1.456711900000000000e+07
1.500000000000000000e+01,1.458273800000000000e+07
1.500000000000000000e+01,1.458331500000000000e+07
1.500000000000000000e+01,1.458800400000000000e+07
1.500000000000000000e+01,1.458372500000000000e+07
1.500000000000000000e+01,1.459739500000000000e+07
1.500000000000000000e+01,1.458425500000000000e+07
1.500000000000000000e+01,1.459756000000000000e+07
1.500000000000000000e+01,1.458846300000000000e+07
1.500000000000000000e+01,1.458530800000000000e+07
1.500000000000000000e+01,1.458203600000000000e+07
1.500000000000000000e+01,1.458384000000000000e+07
1.500000000000000000e+01,1.458694800000000000e+07
1.500000000000000000e+01,1.459432300000000000e+07
1.500000000000000000e+01,1.458878200000000000e+07
1.500000000000000000e+01,1.458986900000000000e+07
1.500000000000000000e+01,1.459510700000000000e+07
1.500000000000000000e+01,1.459797800000000000e+07
1.500000000000000000e+01,1.458492600000000000e+07
1.500000000000000000e+01,1.458451300000000000e+07
1.500000000000000000e+01,1.459839300000000000e+07
1.500000000000000000e+01,1.458976200000000000e+07
1.500000000000000000e+01,1.459164400000000000e+07
1.500000000000000000e+01,1.459458300000000000e+07
1.500000000000000000e+01,1.459132300000000000e+07
1.500000000000000000e+01,1.458724100000000000e+07
1.500000000000000000e+01,1.459358300000000000e+07
1.500000000000000000e+01,1.460101800000000000e+07
1.500000000000000000e+01,1.458655900000000000e+07
1.500000000000000000e+01,1.458368400000000000e+07
1.500000000000000000e+01,1.459997900000000000e+07
1.500000000000000000e+01,1.459117600000000000e+07
1.500000000000000000e+01,1.458925500000000000e+07
1.500000000000000000e+01,1.459677100000000000e+07
1.500000000000000000e+01,1.459145900000000000e+07
1.500000000000000000e+01,1.459651800000000000e+07
1.500000000000000000e+01,1.458586100000000000e+07
1.500000000000000000e+01,1.459502700000000000e+07
1.500000000000000000e+01,1.458599400000000000e+07
1.500000000000000000e+01,1.459668000000000000e+07
1.500000000000000000e+01,1.460167000000000000e+07
1.500000000000000000e+01,1.459169300000000000e+07
1.500000000000000000e+01,1.459303800000000000e+07
1.500000000000000000e+01,1.458563000000000000e+07
1.500000000000000000e+01,1.459368000000000000e+07
1.500000000000000000e+01,1.459383600000000000e+07
1.500000000000000000e+01,1.459976600000000000e+07
1.500000000000000000e+01,1.458872800000000000e+07
1.500000000000000000e+01,1.459508800000000000e+07
1.500000000000000000e+01,1.459594500000000000e+07
1.500000000000000000e+01,1.457687800000000000e+07
1.500000000000000000e+01,1.460605200000000000e+07
1.500000000000000000e+01,1.459688100000000000e+07
1.500000000000000000e+01,1.459320800000000000e+07
